word,Freq
이상화,49
황광희,30
송대한,27
김주혁,38
김수현,183
유리,53
존박,21
이덕화,35
박준규,22
브라이언,18
박진영,25
김보성,27
윤민수,22
윤승아,23
손수현,21
조한선,26
타오,25
태진아,29
김희원,19
김민교,36
다니엘,132
서지혜,34
차두리,48
신민아,152
윤소이,24
세훈,53
에이핑크,45
선우용녀,24
컬투,38
김고은,23
진,24
임창정,37
조진웅,26
티아라,31
이정길,19
전여빈,48
박칼린,30
공유,155
이수현,38
김래원,58
전소미,23
조재현,33
씨엘,21
김혜자,19
유아인,49
서지희,23
나문희,24
김아중,62
ONE,44
김원효,22
김민준,18
서현진,29
수영,42
윤후,32
백윤식,30
양요섭,19
신동엽,92
조권,25
비,133
오상진,25
규현,30
이미연,81
이솜,23
박민영,36
주현,24
송종국,26
황승언,22
조이진,21
유지태,60
이승기,136
전지현,261
하석진,33
손호준,37
송새벽,19
유승호,48
이효리,128
브래드,27
김태희,224
강미나,19
지드래곤,118
톰,25
백종원,37
아이유,101
헤니,114
빅뱅,184
리쌍,22
조정석,77
전도연,23
신화,26
지코,28
정성호,23
크리스,41
윤도현,50
손담비,27
진양혜,20
라미란,41
태연,56
JYJ,50
서장훈,21
김상중,64
대성,35
바로,29
김성민,25
박정현,19
김준호,22
홍진영,24
김범,28
김희선,79
비투비,18
EXO,52
수애,65
시크릿,19
권혁수,46
이국주,25
강수진,25
정태호,23
정준호,75
윤아,128
윤상현,34
추성훈,72
이적,25
김성주,74
이다해,27
홍은희,31
동방신기,25
이광수,58
소원,19
우영,33
강소라,69
양미경,25
보라,57
민호,42
정찬우,37
슈가,37
메시,21
정우성,174
고두심,33
김원희,25
유준상,89
현영,30
황정민,77
박보영,70
박수진,31
강호동,47
T.O.P,62
송승헌,79
이수근,30
오경수,20
김국진,27
마동석,47
박찬욱,19
샤이니,72
최명길,29
오달수,50
탕웨이,24
션,20
백일섭,26
에릭,62
차인표,67
윤해영,39
김태균,26
김성수,26
진영,23
강혜정,22
강남,18
박한별,37
문근영,85
백철민,49
황민현,22
고창석,43
차예련,26
엠씨몽,28
아이드,21
문채원,35
최정원,30
데이비드,26
아이오아이,55
임나영,19
김정태,20
유연석,28
오연서,20
써니,40
김희철,21
장윤주,34
정일우,21
정혜영,57
김유정,70
이동욱,24
첸,33
이정재,111
윤지성,20
김윤진,22
손예진,107
고현정,51
초아,37
FX),79
송지효,55
랩몬스터,23
걸스데이,100
정연,27
오지호,35
뷔,23
정은지,39
장진영,61
임시완,42
김동현,24
노주현,36
은정,23
김윤석,18
유세윤,48
효린,61
준수,53
차승원,163
성유리,37
신보라,40
차태현,125
서신애,27
이준기,30
태민,23
하하,43
이병헌,117
정채은,22
박찬호,21
크리스탈,49
지성,43
장나라,38
강승윤,27
안재홍,27
박성광,25
추사랑,41
심은경,24
박진희,29
유인나,33
최수종,32
서인국,21
B1A4,36
소연,20
주진모,35
구구단,20
심석희,18
슈,20
지민,47
이연희,65
이범수,32
설경구,23
티파니,40
애프터스쿨,35
김태원,23
진세연,21
서강준,31
서현,65
정재영,19
혜리,96
김장훈,30
심혜원,30
김지호,59
나연,28
제임스,19
오연수,33
옹성우,22
이윤지,31
박해일,40
정우,55
미나,30
2PM,97
신하균,38
보아,57
양세형,42
김효진,28
조우종,19
송일국,34
소지섭,88
최경주,22
시우민,32
남지현,29
이시영,28
김미숙,34
리키,18
이보영,91
배두나,32
소녀시대,243
박신혜,91
박지윤,41
루한,22
강하늘,43
이하늬,52
김준현,82
유호정,76
하희라,43
소희,20
엄태웅,34
최현석,22
고준희,29
손나은,38
김청하,23
김민선,22
2NE1,55
레드벨벳,22
김유빈,18
노홍철,41
김정화,33
염정아,39
송강호,69
김윤아,21
조세호,30
레이,29
최진실,29
신애라,71
김상경,24
씨엔블루,22
정용화,22
박신양,28
최효종,22
WANNA,44
이수민,25
여자친구,23
채시라,56
지진희,97
한예슬,76
박성웅,33
KEY,25
김현중,37
비스트,26
리,24
태일,20
김지영,22
유주,21
신우,20
줄리안,21
박은혜,30
변정수,35
옥주현,26
장동건,180
송소희,23
신비,21
이승훈,22
송중기,135
박서준,23
정애연,21
지효,26
황정음,47
유진,24
김향기,19
김현주,47
이세영,21
세정,25
한은정,25
이제훈,45
손현주,41
허경환,27
세븐,19
한가인,123
김지민,31
유재석,107
이선균,69
유인영,46
신구,62
성시경,38
배용준,79
김성균,40
김남길,21
이유리,27
조승우,58
이성민,49
박형식,31
박중훈,31
임수정,75
김명민,69
데프콘,19
이종석,77
신애,18
전현무,45
박주미,37
안성기,122
종현,24
이지연,23
김남주,150
마크,22
이미숙,19
김하늘,35
혜정,21
예린,20
이찬혁,35
나라,22
이병준,18
효연,33
육성재,19
다솜,55
유경,23
최성국,19
김응수,28
아이린,28
백진희,19
손범수,69
비범,18
정려원,38
조인성,178
박상원,40
이상윤,20
공효진,81
김정은,100
김병만,48
박명수,36
원빈,132
백현,58
김우빈,71
성동일,70
김희애,191
산들,24
최지우,46
김광규,23
이대휘,21
공찬,19
하정우,95
김재환,21
승리,38
송만세,27
산다라박,35
수지,167
찬성,31
주원,42
소유,52
미쓰에이,168
다현,26
유라,47
한채영,48
샘,38
최불암,42
구혜선,41
권상우,75
유해진,66
ZE:A,73
유병재,47
디오,53
민효린,18
버스커,36
소유진,18
제시카,71
방탄소년단,25
왕석현,23
하지원,101
카이,57
악동뮤지션,37
한지혜,28
강다니엘,24
홍명보,31
김세정,24
엄정화,37
정준하,40
류승범,43
윤보미,28
이서진,106
김구라,26
정채연,27
김소현,54
김민정,34
송민국,27
유천,44
한효주,120
고수,64
차범근,80
임현식,43
장윤정,22
원더걸스,41
고아라,66
유나,22
헬로비너스,19
박소현,19
DJ,19
최강희,26
김선아,58
TWICE,27
김창완,58
서경석,29
유이,33
조성모,22
정보석,21
이문식,25
지연,19
이요원,27
태양,33
박시연,20
최여진,20
김성령,48
천정명,22
